msa,lat,lng
"Kahului,  HI",20.890755,-156.467144
"Kailua (Honolulu County),  HI",21.396572,-157.740068
"Urban Honolulu,  HI",21.30477,-157.857614
"Bangor,  ME",44.80172,-68.770775
"Dover,  NH",43.193463,-70.874182
"Lewiston,  ME",44.098555,-70.218354
"Portland,  ME",43.659145,-70.256654
"Portsmouth,  NH",43.070623,-70.77212
"Bridgeport,  CT",41.18188,-73.191269
"Danbury,  CT",41.392682,-73.453592
"Hartford,  CT",41.763325,-72.674069
"New Haven,  CT",41.30713,-72.924979
"New York,  NY",40.71455,-74.007124
"Norwich,  CT",41.526564,-72.075709
"Springfield,  MA",42.10125,-72.589294
"Waterbury,  CT",41.554077,-73.046179
"Worcester,  MA",42.263415,-71.802189
"Boise City,  ID",43.606979,-116.193413
"Coeur d'Alene,  ID",47.671866,-116.776166
"Idaho Falls,  ID",43.492,-112.041994
"Lewiston,  ID",46.418657,-117.01666
"Monessen,  PA",40.160795,-79.882249
"Pittsburgh,  PA",40.438335,-79.997459
"Pottstown,  PA",40.246452,-75.648054
"Reading,  PA",40.336585,-75.927843
"Scranton,  PA",41.410135,-75.660794
"State College,  PA",40.79373,-77.860704
"Uniontown,  PA",39.9021,-79.724184
"Williamsport,  PA",41.240945,-77.001414
"York,  PA",39.964535,-76.724289
"Abilene,  TX",32.449175,-99.741424
"Amarillo,  TX",35.207255,-101.833894
"Austin,  TX",30.267605,-97.742984
"Beaumont,  TX",30.08615,-94.101584
"Blacksburg,  VA",37.226263,-80.410584
"Charlottesville,  VA",38.03213,-78.477529
"Fredericksburg,  VA",38.30089,-77.459144
"Harrisonburg,  VA",38.451534,-78.869047
"Lynchburg,  VA",37.41402,-79.142839
"Richmond,  VA",37.5407,-77.433654
"Roanoke,  VA",37.271525,-79.940534
"Staunton,  VA",38.150015,-79.072719
"Virginia Beach,  VA",36.75502,-76.059204
"Williamsburg,  VA",37.275609,-76.709724
"Winchester,  VA",39.184005,-78.164049
"Nampa,  ID",43.582635,-116.569624
"Pocatello,  ID",42.87472,-112.450579
"Aberdeen,  MD",39.51046,-76.163034
"Baltimore,  MD",39.290585,-76.609264
"Cumberland,  MD",39.651775,-78.763334
"Frederick,  MD",39.415745,-77.412034
"Hagerstown,  MD",39.6425,-77.717579
"Lexington Park,  MD",38.265642,-76.452756
"Waldorf,  MD",38.615702,-76.902461
"Westminster,  MD",39.574485,-76.992559
"Boulder,  CO",40.01574,-105.279239
"Colorado Springs,  CO",38.83345,-104.821814
"Denver,  CO",39.74001,-104.992259
"Fort Collins,  CO",40.58147,-105.076259
"Brownsville,  TX",25.899585,-97.495529
"College Station,  TX",30.620545,-96.325904
"Conroe,  TX",30.31218,-95.455919
"Corpus Christi,  TX",27.79641,-97.403564
"Dallas,  TX",32.778155,-96.795404
"Denton,  TX",33.216565,-97.130984
"Washington,  DC",38.89037,-77.031959
"Anchorage,  AK",61.21755,-149.858384
"Fairbanks,  AK",64.845085,-147.722059
"Anniston,  AL",33.65711,-85.819449
"Auburn,  AL",32.607465,-85.481735
"Birmingham,  AL",33.520295,-86.811504
"Grand Junction,  CO",39.06879,-108.564454
"Greeley,  CO",40.42327,-104.694459
"Lafayette,  CO",39.98828,-105.090519
"Longmont,  CO",40.16394,-105.100504
"Pueblo,  CO",38.26386,-104.612374
"Bowling Green,  KY",36.994625,-86.445584
"Cincinnati,  OH",39.106614,-84.504552
"Clarksville,  TN",36.530755,-87.359769
"Elizabethtown,  KY",37.693675,-85.859124
"Evansville,  IN",37.976911,-87.564125
"Huntington,  WV",38.419825,-82.445369
"Lexington,  KY",38.048595,-84.500319
"Louisville/Jefferson County,  KY",38.25486,-85.766403
"Harlingen,  TX",26.18986,-97.695549
"Houston,  TX",29.76045,-95.369784
"Killeen,  TX",31.116835,-97.727109
"Lake Jackson,  TX",29.034374,-95.446312
"Laredo,  TX",27.53092,-99.502009
"Longview,  TX",32.50064,-94.741075
"Lubbock,  TX",33.58451,-101.845009
"McAllen,  TX",26.20742,-98.229364
"McKinney,  TX",33.19895,-96.614994
"Midland,  TX",32.000105,-102.075694
"Columbus,  GA",32.462925,-84.987629
"Daphne,  AL",30.603905,-87.901509
"Decatur,  AL",34.607389,-86.979767
"Dothan,  AL",31.22324,-85.393329
"Florence,  AL",34.800465,-87.675254
"Gadsden,  AL",34.014772,-86.007172
"Huntsville,  AL",34.729135,-86.584979
"Mobile,  AL",30.686395,-88.053239
"Montgomery,  AL",32.38012,-86.300629
"Pensacola,  FL",30.420845,-87.217239
"Tuscaloosa,  AL",33.210435,-87.566214
"Avondale,  AZ",33.4405,-112.349664
"Casa Grande,  AZ",32.879545,-111.750324
"Flagstaff,  AZ",35.1982,-111.651304
"Lake Havasu City,  AZ",34.47398,-114.345864
"Owensboro,  KY",37.77421,-87.113509
"Antioch,  CA",38.015825,-121.819699
"Arroyo Grande,  CA",35.124195,-120.577169
"Bakersfield,  CA",35.36697,-119.018863
"Camarillo,  CA",34.222895,-119.050719
"Chico,  CA",39.73201,-121.841985
"Concord,  CA",37.980816,-122.025196
"Davis,  CA",38.546699,-121.744576
"Delano,  CA",35.770465,-119.245284
"El Centro,  CA",32.795805,-115.569969
"El Paso de Robles (Paso Robles),  CA",35.625092,-120.691261
"Fairfield,  CA",38.249235,-122.043884
"Fresno,  CA",36.740685,-119.785734
"Odessa,  TX",31.84915,-102.375189
"Port Arthur,  TX",29.89932,-93.929379
"San Angelo,  TX",31.4615,-100.442424
"San Antonio,  TX",29.42449,-98.494619
"San Marcos,  TX",29.885099,-97.930779
"Sherman,  TX",33.636045,-96.609129
"Temple,  TX",31.097475,-97.343034
"Texas City,  TX",29.392765,-94.925069
"Tyler,  TX",32.347475,-95.294299
"Victoria,  TX",28.805965,-97.003574
"Waco,  TX",31.571821,-97.149507
"Wichita Falls,  TX",33.90831,-98.500994
"Phoenix,  AZ",33.44826,-112.075774
"Prescott Valley,  AZ",34.586002,-112.322914
"Sierra Vista,  AZ",31.56945,-110.274679
"Tucson,  AZ",32.221553,-110.969754
"Yuma,  AZ",32.68485,-114.624614
"Dover,  DE",39.158035,-75.524734
"Philadelphia,  PA",39.95228,-75.162454
"Salisbury,  MD",38.365735,-75.595319
"Allentown,  PA",40.60257,-75.470204
"Atlantic City,  NJ",39.362815,-74.426524
"East Stroudsburg,  PA",40.99455,-75.178064
"Poughkeepsie,  NY",41.706715,-73.929374
"Trenton,  NJ",40.217875,-74.759404
"Twin Rivers,  NJ",40.263691,-74.493393
"Villas,  NJ",39.02889,-74.939539
"Vineland,  NJ",39.48619,-75.026144
"Albany,  NY",42.651445,-73.755254
"Gilroy,  CA",37.004385,-121.571669
"Hanford,  CA",36.327175,-119.645804
"Hemet,  CA",33.74937,-116.967889
"Indio,  CA",33.721702,-116.219425
"Lancaster,  CA",34.698905,-118.144779
"Livermore,  CA",37.675245,-121.757829
"Lodi,  CA",38.13016,-121.275999
"Lompoc,  CA",34.639805,-120.457879
"Los Angeles,  CA",34.05349,-118.245319
"Madera,  CA",36.962055,-120.063994
"Manteca,  CA",37.79917,-121.232189
"Merced,  CA",37.30127,-120.486199
"Mission Viejo,  CA",33.61941,-117.677638
"Modesto,  CA",37.6383,-120.999589
"Murrieta,  CA",33.55815,-117.211484
"Napa,  CA",38.29886,-122.285219
"Oxnard,  CA",34.20034,-119.180439
"Petaluma,  CA",38.232471,-122.644448
"Porterville,  CA",36.070965,-119.016189
"Redding,  CA",40.587515,-122.392934
"Reno,  NV",39.527385,-119.813439
"Binghamton,  NY",42.098687,-75.911271
"Buffalo,  NY",42.88544,-78.878464
"Elmira,  NY",42.09041,-76.798814
"Glens Falls,  NY",43.31122,-73.643759
"Ithaca,  NY",42.440495,-76.495454
"Kingston,  NY",41.926718,-73.996506
"Middletown,  NY",42.222375,-74.592039
"Rochester,  NY",43.1555,-77.616033
"Saratoga Springs,  NY",43.0837,-73.784579
"Riverside,  CA",33.98163,-117.373879
"Sacramento,  CA",38.579065,-121.491014
"Salinas,  CA",36.67088,-121.654819
"San Diego,  CA",32.715695,-117.161719
"San Francisco,  CA",37.777125,-122.419644
"San Jose,  CA",37.338475,-121.885794
"San Luis Obispo,  CA",35.28552,-120.662519
"Santa Barbara,  CA",34.419255,-119.698869
"Santa Clarita,  CA",34.413448,-118.551875
"Santa Cruz,  CA",36.974025,-122.030954
"Santa Maria,  CA",34.95313,-120.434994
"Santa Rosa,  CA",38.437731,-122.712427
