zip,area,lat,lng,msa,distance
4757,334700805,46.6676144,-68.1686355,"Boston,  MA",174.616412915
4758,91006829,46.5592719,-67.8532254,"Boston,  MA",178.678897826
4760,259787771,46.3393412,-67.9548745,"Boston,  MA",170.814807695
4975,142318,44.625354,-69.5883338,"Boston,  MA",90.7448823728
4976,257908035,44.78928,-69.6676898,"Boston,  MA",93.6739750233
4426,400074698,45.2130594,-69.1891343,"Boston,  MA",114.667292732
4427,104108159,44.9805381,-69.0108794,"Boston,  MA",112.519230329
4428,154153075,44.8057808,-68.5539827,"Boston,  MA",119.698640098
4429,182704788,44.720612,-68.6162302,"Boston,  MA",116.186875517
4430,23379537,45.6368411,-68.575197,"Boston,  MA",138.975110987
4431,809372,44.5575812,-68.668816,"Boston,  MA",111.263614103
4434,64253326,44.7856323,-69.132895,"Boston,  MA",104.842673552
4435,99875579,44.9632183,-69.1249939,"Boston,  MA",109.501769382
4438,63737496,44.5989532,-68.9283372,"Boston,  MA",105.35869578
4441,1505788328,45.7024164,-69.6232335,"Boston,  MA",120.802545114
4442,193978471,45.497827,-69.7272741,"Boston,  MA",113.160679004
4443,355821865,45.2280472,-69.3535249,"Boston,  MA",111.799868832
4444,178825188,44.7289844,-68.949961,"Boston,  MA",107.84054813
4448,285979789,45.2961956,-68.7110603,"Boston,  MA",127.312944939
4761,47825569,46.117254,-67.9752835,"Boston,  MA",164.822659274
4762,102998140,46.9582479,-68.1247309,"Boston,  MA",183.309979079
4763,90794119,46.0743868,-68.1140661,"Boston,  MA",160.517791478
4764,170008341,46.3989288,-68.5853232,"Boston,  MA",158.907256301
4765,1480480446,46.1587856,-68.5911192,"Boston,  MA",152.281276625
4766,94620086,46.8924629,-68.2157801,"Boston,  MA",179.694995858
4768,537310255,46.8631565,-68.8917242,"Boston,  MA",166.488221859
4769,196210371,46.6884839,-67.9930162,"Boston,  MA",178.904058779
4978,39139863,44.6420117,-69.8001691,"Boston,  MA",87.103038638
4979,113560523,44.9395414,-69.8075358,"Boston,  MA",95.4803457961
4449,96617667,44.9926393,-68.8884851,"Boston,  MA",115.669865704
4450,43582796,44.9160484,-68.9279905,"Boston,  MA",112.862475191
4451,194057834,45.6070104,-68.2221729,"Boston,  MA",146.535162263
4453,175130341,45.1622503,-68.760531,"Boston,  MA",122.848633824
4454,128052284,45.5521169,-67.5610589,"Boston,  MA",162.380471094
4455,217986720,45.2994944,-68.2597556,"Boston,  MA",138.406202656
4456,77850598,44.8768694,-68.9967128,"Boston,  MA",110.277567924
4457,426960087,45.4134293,-68.4798671,"Boston,  MA",135.646847182
4459,208678953,45.5887348,-68.3399852,"Boston,  MA",143.248272289
4460,277008668,45.7113948,-68.5399631,"Boston,  MA",141.662726997
4461,114276977,44.9547869,-68.5824377,"Boston,  MA",122.302438649
4462,3032137295,45.9727694,-69.0124449,"Boston,  MA",138.937015436
4463,379742061,45.2823296,-68.9025402,"Boston,  MA",122.612941527
4464,518124717,45.4170399,-69.2763652,"Boston,  MA",118.500315457
4772,76728185,47.2300836,-68.3114491,"Boston,  MA",187.169291153
4773,101033989,47.2675092,-68.2231397,"Boston,  MA",189.87039643
4774,459157032,47.0770395,-69.1545002,"Claremont,  NH",165.71864546
4776,221515480,45.8716953,-68.324753,"Boston,  MA",150.595104579
4777,233410485,45.8425207,-68.5010764,"Boston,  MA",145.883649943
4779,246335515,47.1144572,-68.3314721,"Boston,  MA",183.562480926
4780,786888366,46.2392445,-68.2852814,"Boston,  MA",160.869234793
4781,126567227,47.150199,-68.6134946,"Boston,  MA",179.484326964
4783,145659750,47.0401236,-68.1750497,"Boston,  MA",184.52813519
4785,264051658,47.1119505,-67.99435,"Boston,  MA",190.105699609
4981,97912862,44.5141216,-68.8390475,"Boston,  MA",105.775434151
4982,138241683,45.0979838,-70.4305754,"Claremont,  NH",88.1735008996
4983,389149885,44.9799812,-70.3684007,"Claremont,  NH",87.5210781619
4984,61096111,44.6986195,-70.2711515,"Boston,  MA",81.5491236217
4985,519193363,45.369441,-69.9310946,"Boston,  MA",106.412709561
4986,143362761,44.5494603,-69.2112917,"Boston,  MA",97.198131642
4987,90451120,44.6741485,-69.2518443,"Boston,  MA",99.3201688321
4468,308944328,45.0234312,-68.7334189,"Boston,  MA",120.138514503
4469,625565,44.9010588,-68.6683165,"Boston,  MA",118.88868627
4786,182198907,46.7949211,-68.1920506,"Boston,  MA",177.537138237
4988,128937902,44.5701476,-69.3624413,"Boston,  MA",94.1840348272
4989,114435388,44.4279799,-69.6495078,"Boston,  MA",84.2253710598
4992,154631,44.6636565,-70.1626768,"Boston,  MA",81.8974198368
4471,248672769,45.9082902,-67.8614281,"Boston,  MA",162.550698652
4472,120953878,44.5760955,-68.670122,"Boston,  MA",111.623020603
4473,46480286,44.8816788,-68.7386486,"Boston,  MA",116.669157108
4474,64726304,44.7069554,-68.7703427,"Boston,  MA",111.858533434
4475,62703160,45.1835874,-68.5896141,"Boston,  MA",127.466561871
4476,103279722,44.4827015,-68.7060011,"Boston,  MA",108.671242529
4478,1027296727,45.8652296,-69.8156754,"Claremont,  NH",121.10884288
4479,99560523,45.14118,-69.3217918,"Boston,  MA",110.044069967
4481,80216894,45.2459788,-69.0927751,"Boston,  MA",117.549633659
4485,115413636,45.3584609,-69.6243611,"Boston,  MA",110.666566354
4487,569227919,45.3877374,-68.1044707,"Boston,  MA",144.39188594
4488,90623378,44.8754327,-69.1046983,"Boston,  MA",107.735468062
4489,519680,44.9103844,-68.6901726,"Boston,  MA",118.552233853
4490,683736939,45.4366364,-67.8676233,"Boston,  MA",151.671107568
4491,33522195,45.5726933,-67.4733558,"Boston,  MA",165.202713313
4492,120439975,45.3670451,-67.681322,"Boston,  MA",155.205090503
4493,172937683,45.2368243,-68.5245758,"Boston,  MA",130.324293472
4495,113177087,45.454119,-68.3338039,"Boston,  MA",140.163442382
4496,92007098,44.6503837,-68.9088904,"Boston,  MA",107.03203735
4497,622376193,45.7546098,-68.0609441,"Boston,  MA",153.995152975
4530,74492111,43.8882397,-69.8267017,"Boston,  MA",66.4813107433
4535,54134939,44.0984712,-69.6291749,"Boston,  MA",76.2844258963
4537,43411224,43.8755159,-69.6183935,"Boston,  MA",71.2657654311
4538,12631730,43.8515051,-69.6276114,"Boston,  MA",70.4835084294
4787,104225052,46.5346928,-67.9728245,"Boston,  MA",175.36880396
